Genus_spp,Abies_amabilis,Abies_lasiocarpa,Achillea_millefolium,Adiantum_,Agoseris_aurantiaca,Agrostis_humilis,Alnus_viridis,Anaphalis_margaritacea,Anemone_occidentalis,Antennaria_,Antennaria_alpina,Antennaria_lanata,Antennaria_rosea,Antennaria_umbrinella,Anthoxanthum_monticola,Arabis_drummondii,Arctostaphylos_uva-ursi,Arnica_,Arnica_latifolia,Arnica_mattis,Arnica_ovata,Arnica_parryi,Arnica_spp,Artemsia_furcata,Asplenium_viride,Athyrium_alpestre,Athyrium_distentifolium,Boechera_calderi,Botrychium_spp.,Carex_,Carex_aquatalis,Carex_aurea,Carex_lachenalii,Carex_macloviana,Carex_spectabilis,Cassiope_mertensiana,Castilleja_miniata,Castilleja_pervifolia,Castilleja_rupicola,Chamaecyparis_nootkatensis,Chamaenerion_angustifolium,Chamaenerion_latifolium,Cirsium_edule,Crepis_nana,Crust_,Cryptogramma_acrostichoides,Dasiphora_fruticosa,Diaphasiastrum_alpinum,Dryas_drummondii,Dryopteris_marginalis,Elymus_trachycaulus,Empetrum_nigrum,Epilobium_anagallidifolium,Equisetum_arvense,Equisetum_variegatum,Erigeron_acris,Erigeron_glacialis,Erigeron_nivalis,Erythranthe_guttata,Erythranthe_lewisii,Erythronium_grandiflorum,Fern_,Festuca_,Festuca_brachyphylla,Festuca_saximontana,Fragaria_virginiana,FUNGI_,Gaultheria_humifusa,Heuchera_glabra,Hieracium_,Hieracium_albiflorum,Hieracium_humile,Hieracium_triste,Huperzia_haleakalae,Juncus_,Juncus_arcticus,Juncus_drummondii,Juncus_mertensianus,Juncus_triglumus,Juniperus_communis,Kalmia_microphylla,Leptarrhena_pyrolifolia,Lesquerella_alpina,Lichen_,Luetkea_pectinata,Lupinus_spp.,Luzula_,Luzula_parviflora,Luzula_piperi,Marchantia_spp.,Micranthes_ferruginea,Micranthes_nivalis,Mimulus_lewisii,Mimulus_tilingii,Minuartia_rubella,Moss_,Orthilia_secunda,Oxyria_digyna,Packera_aurea,Parnassia_fimbriata,Pedicularis_bracteosa,Pedicularis_racemosa,Penstemon_,Penstemon_davidsonii,Penstemon_procerus,Petasites_frigidus,Phacelia_sericea,Phleum_alpinum,Phlox_diffusa,Phyllodoce_empetriformis,Phyllodoce_glanduliflora,Picea_engelmannii,Pinguicula_vulgaris,Pinus_albicaulis,Platanthera_dilatata,Poa_alpina,Polystichium_,Polystichum_,Polystichum_braunii,Polystichum_lonchitis,Populus_trichocarpa,Potentilla_glaucophylla,Pyrola_asarifolia,Ranunculus_eschscholtzii,Rhododendron_albiflorum,Ribes_spp.,Salix_,Salix_arctica,Salix_barclayi,Salix_petrophila,Salix_reticulata(nivalis),Salix_sitchensis,Saxifraga_bronchialis,Saxifraga_tolmiei,Sedum_divergens,Senecio_fremontii,Sibbaldia_procumbens,Silene_acaulis,Solidago_multiradiata,Sorbus_sitchensis,Stellaria_longipes,Symphyotrichum_foliaceum,Triantha_glutinosa,Tsuga_mertensiana,Unknown_,Vaccinium_,Vaccinium_membranaceum,Vaccinium_ovalifolium,Vaccinium_parvifolium,Vaccinium_uliginosum,Valeriana_sitchensis,Veronica_wormskjoldii,Long,Lat
CE07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318309886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.978,49.894500000000001
CN01,0,0.079577472,0,0,0,0,0,0.035367765,0,0,0,0,0,0,0,0.5,0.000436639,0,0,0,0,0,0,0,0,0,0.000795775,0,0,0.035367765,0,0,0,0,0,0,0.002210485,0,0,0,0,1.5,0,0,0,0,0,0,0.000436639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035367765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035367765,0,4.5,0,0,0,0.035367765,0,0,0,0,0,0,0,0,0,0.001414711,0,0,0,0,0,0,0,0.00649612,0,0,0.012732395,4.5,0,0.012732395,1.5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,-122.996,49.901000000000003
WP58,0,0.012732395,0.00649612,0,0,0,0,5,0,0,0,0,0,0,0,0,0.004973592,0,0,0,0,0,0,0,0,0,0,0,0,0.079577472,0,0,0,0,0,0.001101418,0.001414711,0,0,0,0.318309886,3.5,0,0,0,0.079577472,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.003183099,0,0.000509296,0,0,0.318309886,0.318309886,0.5,0,0.00649612,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066,0,0,0,2.5,0,0.008841941,0,0,0,0,0.00649612,0.008841941,0,0,0,0,0,0,0,0,0,0,0,0.012732395,0,0,0,0,0.003183099,0.012732395,0.003929752,0,0,0.000509296,0,0.00649612,0.5,0,0.000509296,0.019894368,0,0,0,0.000509296,0,3.000509296,0.019894368,0,0,0,0,0,0,-122.991,49.929099999999998
WP55,0,1,0,0,0,0,0,0.019894368,0,0,0,0,0.00263066,0.035367765,0,0,0,0,0.000795775,0,0,0,0.003929752,0,0,0,0,0,0,0.041863885,0.5,1,0,0,0,8,0.012732395,0,0,0,0,0,0,0,0,0.002210485,0,0,0,0,0,0,0,0,0,0,0,0.012732395,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.004973592,0,0.00649612,0,0,0,0,0,0,0,0,0,0.00240688,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.000657665,0,0,0,0,0,0,0,6,0,0,0,0.000657665,0,0,0,0,0,0,0,0,0,0,0.00649612,0,0,0,0,0,0,0,0,-122.993,49.928600000000003
WP37,0.019894368,6.5,0,0,0,0,0,0.012732395,0,0,0.012732395,0,0.019894368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001101418,2.5,0,0,0,0.019894368,0.012732395,0,0,0,0,0.001414711,0,0,0,0,0,0,0,0,0,0,0,0,0.001101418,0,0,0.00060172,0,0,0,0,0,0,0,0,4,0.001101418,0,0,0,0,0,0.001101418,0,0,0,0,0,0,0.000795775,0.001101418,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.008841941,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0.001039379,0,2,0,0,0,0,0,8,7,0,0,0.001414711,0,0,0,0,0,0,0,0,0,0,0.079577472,0,0,0,0,0,0,0,0,-122.99,49.927799999999998
WP29,0,0.019894368,0,0,0,0,0,0.000509296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795775,0.008841941,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079577472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012732395,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.003183099,0,0,0,0,0.000795775,0,0,0,0,0,0,0,0,0,0,0.000509296,0,0,0,0,0,0,0,0.012732395,0.012732395,0,0,0,0,3,0,0,0,0,0,0,0,0,0.000795775,0,0,0,0,0,0,0,0,-122.989,49.928500000000000
WP3,0,0.5,0,0,0,0,0,0,0,0,0.000795775,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0.004973592,0.001414711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,3.5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.012732395,0.000795775,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,11.5,0,0.000259845,0,0,0,0,0,0,0,0,0,0,0,0,0.012732395,0.012732395,0,0,0,0,0,0,0,-122.999,49.906100000000002
WP34,0,0.5,0,0,0,0,0,0,0,0,0.012732395,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0.000353678,0,0,0,0.000795775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795775,0,0,0,0,0,0,0,0.012732395,4,9.5,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0.00015719,0.003183099,0,0,0,0,0,0.012732395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.00015719,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,-122.999,49.907299999999999
WP33,0,0.003183099,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.000509296,0,0,0,0,0,0,0,0,0,0,0,1.5,NA,0.012732395,0.000259845,0.000795775,0,0,0,7.5,0,0.000509296,0,0,0,0,0,0,0,0,0,0.000509296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.000259845,0,0,2.5,0,1,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.025464791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051969,0,9,0,0,0,0,0,0,0,-123.002,49.905900000000003
WP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0.012732395,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.001414711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,-123.002,49.905099999999997
WP30,0,0,2.5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0.019894368,0,0,0,0.5,0,0,0,0,0,7,0,0,0,0,3.5,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,0.5,0,8,0.141471061,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6.5,0,2,0,0,0,5.5,0,0.5,0.004973592,0,1.5,0,0,4,0,0,0,0,0,8,0,0,0,2,0,0,0,0,1,0,0.002210485,0,0,0,0,0,0,0,0,0.5,0,0,0.008841941,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0.003183099,0,0,0,0.141471061,0,0,0,0,0,0,0,0,0,0,0,0,8,-122.982,49.895099999999999
WP67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079577472,0,0,0,0,0.000795775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001414711,0,0,0,0,6,0,0,0,0,0.000353678,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.035367765,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,-123.003,49.905500000000004
CE03.WP15,0,1.5,0,0,0.003183099,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.012732395,0,0.003929752,0,0,0,0.012732395,0,0,0,0,2,4.5,6.5,0,0,0,7,0.5,0,0.019894368,0,0,0,0,0,8,0,0,0,0,0,0,1,0.012732395,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.001414711,0,0,0,0,0,1.5,0.019894368,0.5,0,0,0,0,4,5.5,0,2,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0.079577472,0,0,0,0,0,0.5,0,0,0,0,6,0,8,0,0.019894368,0,0,0,0,0,0,0,0,0,0,0,0,0.000721791,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.5,0,0,0,0,0,0,0,0,-122.981,49.920400000000001
CE04,0,0.5,0.000795775,0,0.000795775,0,0,0.012732395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035367765,0,0.012732395,0,0,0,0,0,0,0,0,0,0,0.003929752,0,0,0,0,8,0,0.012732395,0,0.003183099,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.012732395,0,0.5,0,4,0,0,0,0,0.019894368,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,5.5,0,0.000353678,0,0,0,0,0,0,0,0.012732395,0.035367765,0,0,0,0,0,0,0,0,0,0.000795775,0,0,0,0,0,0,0,0,0,0,0.012732395,0,0,0,0,0,0,3,0.035367765,0,0.001414711,0.001414711,0,0,0,0,0,0.048100161,0,0,0,0,0,0,0,-122.978,49.913400000000003
WP20,0,0,0,0,0,0,0,0.004973592,0,0,0,0,0,0,0,0,0,0.004973592,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0.019894368,0,0,0,0,6.5,0,0,0,0,0,0,0,0,1,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001101418,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0.00060172,0,0,0,0,0,0,0.000509296,0,0.00649612,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0.035367765,0,0,0.003183099,0.000795775,0,0,0,0,0,0,-122.999,49.903700000000001
WP1,0,0.318309886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004973592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.001414711,7,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000795775,0,0,0,0,0,6.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079577472,0,0,0,0,0,0,0,0,-123.001,49.904400000000003
WP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001101418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0.003183099,0.00649612,0,0,0,0,0.00649612,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035367765,1,0,0,0,0,0,0,0.004973592,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.000982438,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,-122.993,49.930599999999998
WP69,0,0.003183099,0,0,0,0,0,0.003183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2.5,0,0,0,5,0,0,0,0,0,0.079577472,0,0,0,0,0,0.008841941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079577472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001101418,0,8,8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.5,0.012732395,0,0.079577472,0,0,0,0,0,-123.004,49.902000000000001
WP73,0.318309886,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012732395,0.002210485,0,0.012732395,0,0,0,0,0,0,0,0,0,0,0.025464791,0,0,0,0,0,5.5,0,0,0,0,0,0.001414711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019894368,0,0,0,0,0,0,0,0,0.00188349,0,0.035367765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.019894368,0,0,0,0.001243398,0,0,0,0,0,0,1.5,0.012732395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008841941,0,5,3.002829421,0,1.5,0,0.001414711,0.001414711,1,0.012732395,-123.005,49.902400000000000
